Date,Close,High,Low,Open,Volume
2007-04-11,9310.1669921875,9310.1669921875,9310.1669921875,9310.1669921875,42387
2007-04-12,9213.1865234375,9213.1865234375,9213.1865234375,9213.1865234375,23772
2007-04-13,8767.0732421875,8767.0732421875,8767.0732421875,8767.0732421875,48876
2007-04-16,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,107196
2007-04-17,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,59551
2007-04-18,8437.33984375,8437.33984375,8437.33984375,8437.33984375,9084
2007-04-19,8844.66015625,8844.66015625,8844.66015625,8844.66015625,61001
2007-04-20,8417.943359375,8417.943359375,8417.943359375,8417.943359375,89312
2007-04-23,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,21723
2007-04-24,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,41960
2007-04-25,8437.33984375,8437.33984375,8437.33984375,8437.33984375,54215
2007-05-02,8437.33984375,8437.33984375,8437.33984375,8437.33984375,53062
2007-05-03,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,59209
2007-05-04,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,34062
2007-05-07,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,71761
2007-05-08,8728.2822265625,8728.2822265625,8728.2822265625,8728.2822265625,70438
2007-05-09,8534.3203125,8534.3203125,8534.3203125,8534.3203125,41106
2007-05-10,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,17966
2007-05-11,8437.33984375,8437.33984375,8437.33984375,8437.33984375,51524
2007-05-14,8437.33984375,8437.33984375,8437.33984375,8437.33984375,45375
2007-05-15,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,39275
2007-05-16,8243.376953125,8243.376953125,8243.376953125,8243.376953125,62242
2007-05-17,8243.376953125,8243.376953125,8243.376953125,8243.376953125,29067
2007-05-18,8456.7353515625,8456.7353515625,8456.7353515625,8456.7353515625,98021
2007-05-21,8864.0546875,8864.0546875,8864.0546875,8864.0546875,154075
2007-05-22,9290.7705078125,9290.7705078125,9290.7705078125,9290.7705078125,97508
2007-05-23,9310.1669921875,9310.1669921875,9310.1669921875,9310.1669921875,191947
2007-05-24,8844.66015625,8844.66015625,8844.66015625,8844.66015625,143529
2007-05-25,8844.66015625,8844.66015625,8844.66015625,8844.66015625,34152
2007-05-28,9271.375,9271.375,9271.375,9271.375,113132
2007-05-29,9213.1865234375,9213.1865234375,9213.1865234375,9213.1865234375,204794
2007-05-30,8922.244140625,8922.244140625,8922.244140625,8922.244140625,146475
2007-05-31,8728.2822265625,8728.2822265625,8728.2822265625,8728.2822265625,151558
2007-06-01,8534.3203125,8534.3203125,8534.3203125,8534.3203125,91190
2007-06-04,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,84655
2007-06-05,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,84872
2007-06-06,8068.81298828125,8068.812988281251,8068.812988281251,8068.812988281251,51230
2007-06-07,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,139433
2007-06-08,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,70015
2007-06-11,7952.4345703125,7952.4345703125,7952.4345703125,7952.4345703125,39869
2007-06-12,8030.0205078125,8030.0205078125,8030.0205078125,8030.0205078125,31418
2007-06-13,8030.0205078125,8030.0205078125,8030.0205078125,8030.0205078125,38675
2007-06-14,7952.4345703125,7952.4345703125,7952.4345703125,7952.4345703125,34787
2007-06-15,7952.4345703125,7952.4345703125,7952.4345703125,7952.4345703125,39057
2007-06-18,7855.45361328125,7855.453613281249,7855.453613281249,7855.453613281249,28857
2007-06-19,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,156208
2007-06-20,8553.716796875,8553.716796875,8553.716796875,8553.716796875,198476
2007-06-21,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,311613
2007-06-22,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,41960
2007-06-25,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,96098
2007-06-26,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,47595
2007-06-27,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,84569
2007-06-28,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,103097
2007-06-29,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,49263
2007-07-02,7952.4345703125,7952.4345703125,7952.4345703125,7952.4345703125,209832
2007-07-03,7952.4345703125,7952.4345703125,7952.4345703125,7952.4345703125,143658
2007-07-04,8030.0205078125,8030.0205078125,8030.0205078125,8030.0205078125,52891
2007-07-05,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,61001
2007-07-06,8068.81298828125,8068.812988281251,8068.812988281251,8068.812988281251,117743
2007-07-09,8049.41650390625,8049.41650390625,8049.41650390625,8049.41650390625,80515
2007-07-10,8243.376953125,8243.376953125,8243.376953125,8243.376953125,150109
2007-07-11,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,223454
2007-07-12,8340.3583984375,8340.3583984375,8340.3583984375,8340.3583984375,100793
2007-07-13,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,102974
2007-07-16,8165.79345703125,8165.79345703125,8165.79345703125,8165.79345703125,77056
2007-07-17,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,24758
2007-07-18,8146.39794921875,8146.39794921875,8146.39794921875,8146.39794921875,52253
2007-07-19,8243.376953125,8243.376953125,8243.376953125,8243.376953125,88117
